Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,11,397,306,167,35,69,0,22,66,20,58
C:\Users\dvovc\source\repos\MIPZ_1,11,397,306,167,35,69,0,22,66,20,58
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1,11,397,306,167,35,69,0,22,66,20,58
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1\Models,2,116,98,56,15,18,0,0,0,0,0
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1\Services,4,202,167,92,20,35,0,0,0,0,0
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1\obj,4,58,24,8,0,12,0,22,66,20,58
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1\obj\Debug,2,29,12,4,0,6,0,11,33,10,29
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1\obj\Debug\net5.0,2,29,12,4,0,6,0,11,33,10,29
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1\obj\Release,2,29,12,4,0,6,0,11,33,10,29
C:\Users\dvovc\source\repos\MIPZ_1\MIPZ_1\obj\Release\net5.0,2,29,12,4,0,6,0,11,33,10,29
